id;uuid;name;label;description;created_at
1;c5276f38-2130-4e5f-8c60-c2d417f35801;barring;astride but;小;2024-11-17T23:58:50
2;c036287f-1588-4af2-8b98-52b40c06cb12;incidentally march majority;吃;举;2024-11-17T12:56:54
3;aa6e2304-fb7b-457f-b35c-4eadf1597e63;gah per;schnitzel nor 抄;gosh;2024-11-17T05:15:36
4;bf79f9c9-7522-4ef1-8135-a475482cd2fa;摇 unless;at kinase;along;2024-11-17T16:26:12
5;e6c52ae6-391f-4f0a-add7-b401b711355b;huzzah;ew;yum;2024-11-17T10:32:21
6;f62d87f4-b544-4c99-a15e-47d5b96c23bd;reservation 甜 全;勇敢 through mmm;boohoo 甜;2024-11-17T09:18:39
7;c456d89e-f49d-40e7-ac8a-30e4326c31cf;吃;yum amnesty;fooey 黑不溜秋;2024-11-18T01:03:42
8;60cad7f8-5412-4067-aea3-35b95a1e48da;till 平常;which 短;meh 全部 graffiti;2024-11-18T03:24:03
9;986096c2-f724-41b7-94d7-e6dfa13af9e8;走 一概;一起 even;全部;2024-11-17T12:47:49
10;58bea7cc-10e5-43ad-995b-89e74faf1a6b;好些 meh 果然;amidst minus 大;优秀;2024-11-17T21:09:01
