id;uuid;name;label;description;role;created_at
1;3bf7b68b-709b-42db-b191-7a1296782f0d;ugh hydrocarbon unless;ugh;drat;ACTION_DEVICE;2024-11-17T19:10:09
2;a7da2f96-2b0b-4fe2-81f6-f7caf806f883;优秀 abacus 启动;稍微;整 near how;CONDITION_DEVICE;2024-11-17T13:10:54
3;dd9cdb83-22c5-4220-919c-9a58d22fd6da;with 倒 furthermore;per 好在 敢情;聪明 apud;CONDITION_DEVICE;2024-11-18T02:19:55
4;61ba74d5-a4bc-426e-a6f1-12f499725f1e;yippee 好些;捧 through;considering via;ACTION_DEVICE;2024-11-17T07:28:13
5;1af9dce5-9f79-4cfb-b848-18925fcc3824;inside 笔直;meatloaf;zowie yippee 扶;CONDITION_DEVICE;2024-11-17T13:30:55
6;142b7078-3c81-4db0-bcf7-08e13fc046b9;alligator;than;fibre 马虎;ACTION_DEVICE;2024-11-17T20:22:35
7;ffdcb34a-9c7e-48ed-b744-c4d95db61637;for 整齐 聪明;擒 upon fooey;synergy object 轻松;CONDITION_DEVICE;2024-11-18T00:07:04
8;3dfa229d-ed7a-4d96-8185-8a2bd0936f5d;but 老实 aw;必定 psst 大;provision;ACTION_DEVICE;2024-11-17T18:56:26
9;6894142c-0852-4bbd-9184-1919c819ef55;confusion drat 仅仅;转动 drat from;老实 马虎 一味;ACTION_DEVICE;2024-11-17T23:18:01
10;f1dc8231-ca8e-409a-8751-ac304aff8747;拉 concerning;eek;puppet 仅仅 off;NONE;2024-11-17T09:46:48
