id;uuid;name;label;description;role;created_at
1;e0bcd57f-efc8-4f63-86a7-b36e441bf43f;坏 大;farmer;testing 最 播;NONE;2024-11-17T22:31:45
2;61698092-f295-4022-b214-bfc3a05ea826;好些;dime incidentally;吐 boo;STRATEGY_OWNER;2024-11-17T05:44:30
3;b532c719-9daf-4026-902c-44ed3b3317b0;十分 following 捶;伟大;brr or 劈;STRATEGY_OWNER;2024-11-18T03:06:44
4;b05ec3c5-ba46-4702-aa4a-6ec1718b03fd;when over among;雪白 渐渐 unless;全 unto partridge;NONE;2024-11-17T09:43:33
5;e8c4dd4d-51cc-47d7-be64-649b8517f38f;大方 psst 伟大;抿 how;净 woot 一道;STRATEGY_OWNER;2024-11-17T19:49:17
6;d907d671-80c0-432e-adfc-0e6a9cfeb74d;phew;bug midst;than;NONE;2024-11-17T17:59:46
7;d59087e0-546d-4cae-82aa-3f112a07ba6b;story;抬;heroine 软;STRATEGY_OWNER;2024-11-18T00:34:20
8;6aa23bab-39ef-4f3e-a00c-91494ba23e99;都 fooey bah;按 whether underneath;坚固 aha;STRATEGY_OWNER;2024-11-17T21:17:52
9;bd02a2f0-152a-45f9-886b-51bd1e2ce64d;mmm under as;supposing 优秀;只 after;NONE;2024-11-17T11:21:03
10;8bd4f5dc-deff-41d3-859a-2b693afca41d;跑;十分;开 yet 拉;NONE;2024-11-17T23:47:26
