id;uuid;label;description;created_at;execution_rule;status
1;a5fea23a-99d0-42d2-bef3-cd229e53bb9a;hawk 总共;like birdbath whoa;2024-11-17T18:15:03;打 phew 统统;Inactive
2;241c0be1-a498-4728-b4bb-7f0f74d89b79;必定 meh 格外;comestible an;2024-11-17T21:09:59;血淋淋 traditionalism 略微;Active
3;27852726-7dd6-42c1-8cf2-60db30f1cce4;热 off;anti aha which;2024-11-17T16:40:43;woot inside;Inactive
4;c1655917-3417-41a3-8705-1f40c0a6d585;坚固 why 长;even 多 必定;2024-11-17T05:11:59;gee a millet;Active
5;6c27857b-b730-41de-8104-dfa9c20cacdf;画 likewise;共 果然;2024-11-18T03:23:35;逐渐 hunt;Active
6;b262d785-45f5-4eab-863b-1f19f6c8cf95;which;单 搔 about;2024-11-17T04:12:30;eek;Active
7;561b5981-6c78-4934-a912-2e11ace6f4f3;freight 光;supposing;2024-11-17T11:18:42;anenst 索性 没;Active
8;a70f8fb9-af90-4135-a9cf-76ab868a06af;总共 sunbeam 擦;统统 save;2024-11-17T14:26:07;推 indeed;Inactive
9;5c7bd67b-97ad-4f63-bc52-e64f9dabc7e9;劈;互相 supposing 绿油油;2024-11-17T19:22:35;near 一齐;Active
10;65ba2492-32c3-40cb-bd91-0fd9fd3aa23a;互相 好在;blah 骨碌碌 qua;2024-11-17T18:35:53;throughout 稍微;Inactive
